,100percentfedup.com,Unnamed: 1,bias,Unnamed: 3,Unnamed: 4
161,dailyleak.org,,parody,fake,
162,dailynewsbin.com,,bias,clickbait,
163,dailynewspolitic.com,,unknown,,
164,dailyoccupation.com,,conspiracy,bias,
165,dailypolitics.info,,unknown,,
166,dailypoliticsusa.com,,bias,,
167,dailysignal.com,,bias,,
168,dailysquib.co.uk,,satire,,
169,dailystormer.com,,hate,conspiracy,bias
170,dailytelegraph.com.au,,unknown,,
171,dailywire.com,,bias,,
172,dandygoat.com,,satire,,
173,darkmoon.me,,hate,bias,
174,darkpolitricks.com,,bias,conspiracy,
175,dataasylum.com,,unknown,,
176,DaveJanda.com,,unreliable,,
177,davidduke.com,,hate,,
178,davidstockmanscontracorner.com,,political,,
179,davidwolfe.com,,conspiracy,,
180,dcclothesline.com,,conspiracy,junkscience,
181,dcgazette.com,,fake,,
182,dcleaks.com,,unreliable,,
183,DeadLineLive.info,,unknown,,
184,DeadlyClear.wordpress.com,,unknown,,
185,debunkingskeptics.com,,unknown,,
186,defenddemocracy.press,,bias,political,
187,delectabledietofpics.net,,unknown,,
188,dennismichaellynch.com,,political,,
189,denverguardian.com,,fake,,
190,departed.co,,fake,,
191,der-postillon.com,,satire,,
192,derfmagazine.com,,satire,,
193,DeviantInvestor.com,,unknown,,
194,dineal.com,,junksci,,
195,disclose.tv,,satire,conspiracy,
196,disclosuremedia.net,,conspiracy,,
197,discoverthenetworks.org,,unknown,,
198,discovery.org,,unknown,,
199,dissentmagazine.org,,political,,
200,diversitychronicle.wordpress.com,,satire,,
201,doctorhousingbubble.com,,unknown,,
202,DollarVigilante.com,,bias,,
203,donaldtrumpnews.co,,fake,,
204,Dont-Tread-On.Me,,conspiracy,,
205,downtrend.com,,fake,satire,
206,DProgram.net,,unknown,,
207,drudgereport.com,,bias,bias,
208,drudgereport.com.co,,fake,,
209,duffleblog.com,,satire,,
210,duhprogressive.com,,satire,,
211,Dutchsinse.com,,conspiracy,,
212,EagleRising.com,,bias,clickbait,
213,EbolaHoax.com,,conspiracy,,
214,economicnoise.com,,unknown,,
215,ecowatch.com,,unknown,,
216,EdgeTraderPlus.com,,unknown,,
217,educate-yourself.org,,conspiracy,junksci,
218,educateinspirechange.org/health,,clickbait,junksci,
219,electionnightgatekeepers.com,,conspiracy,unreliable,
220,elelephantintheroom.blogspot.com,,bias,,
221,elitereaders.com,,clickbait,,
222,elkoshary.com,,satire,,
223,elmundotoday.com,,satire,,
224,embols.com,,fake,,
225,empireherald.com,,fake,satire,
226,empirenews.net,,fake,satire,
227,empiresports.co,,satire,,
228,Emptywheel.net,,political,,
229,enabon.com,,fake,,
230,endingthefed.com,,bias,,
231,endoftheamericandream.com,,unknown,,
232,endtime.com,,unknown,,
233,enduringvision.com,,fake,,
234,english.ruvr.ru,,unknown,,
235,EUTimes.net,,hate,conspiracy,
236,eutopia.buzz,,fake,satire,conspiracy
237,everydayworldnews.com,,unknown,,
238,everythingnewdaily.com,,unknown,,
239,ewao.com,,junksci,,
240,ExperimentalVaccines.org,,unknown,,
241,ExplosiveReports.Com,,unknown,,
242,Expose1933.com,,conspiracy,hate,
243,express.co.uk,,unknown,,
244,extraclubmagazine.com,,bias,clickbait,fake
245,eyeopening.info,,conspiracy,junksci,
246,fairus.org,,unknown,,
247,fakingnews.com,,fake,satire,
248,familysecuritymatters.org,,conspiracy,bias,
249,fantasticword.com,,unknown,,
250,FarmWars.info,,unknown,,
251,federalistpress.com,,bias,,
252,fellowshipoftheminds.com,,conspiracy,junksci,
253,filmsforaction.org,,political,,
254,FinancialSense.com,,unknown,,
255,FinancialSurvivalNetwork.com,,unreliable,bias,
256,firearmscoalition.org,,unknown,,
257,floridasunpost.com,,fake,satirical,
258,flyheight.com,,unknown,,
259,fmobserver.com,,satire,,
260,fognews.ru,,satire,,
261,foodbabe.com,,junksci,,
262,foreignpolicyjournal.com,,political,,
263,fort-russ.com,,unknown,,
264,fourwinds10.net,,conspiracy,junksci,
265,fprnradio.com,,conspiracy,fake,
266,freakoutnation.com,,bias,,
267,FreeBeacon.com,,bias,,
268,freedomdaily.com,,fake,,
269,FreedomForceInternational.com,,conspiracy,,
270,freedomoutpost.com,,conspiracy,bias,
271,FreedomsPhoenix.com,,bias,conspiracy,
272,freedomworks.org,,unknown,,
273,FreemansPerspective.com,,unknown,,
274,freepatriot.org,,satire,,
275,FreeStateProject.org,,unknown,,
276,freewoodpost.com,,satire,,
277,fridaymash.com,,satire,,
278,fromthetrenchesworldreport.com,,conspiracy,junksci,bias
279,frontpagemag.com,,bias,hate,
280,FTMDaily.com,,unknown,,
281,FullSpectrumDominance.com,,unknown,,
282,fusion.net,,political,,
283,gaia.com,,conspiracy,junksci,
284,gainspainscapital.com,,unknown,,
285,galacticconnection.com,,junksci,,
286,gangstergovernment.com,,conspiracy,bias,
287,GATA.org,,unknown,,
288,gatesofvienna.net,,hate,conspiracy,
289,geoengineeringwatch.org,,junksci,conspiracy,
290,geopolmonitor.com,,political,,
291,GlobalEconomicAnalysis.com,,unknown,,
292,globalresearch.ca,,conspiracy,,
293,GlobalWealthProtection.com,,unknown,,
294,GloomBoomDoom.com,,unknown,,
295,glossynews.com,,satire,,
296,godlikeproductions.com,,conspiracy,,
297,GoldBroker.com,,unknown,,
298,GoldCore.com,,unknown,,
299,GoldMoney.com,,unknown,,
300,GoldSeek.com,,unknown,,
301,GoldSilver.com,,unknown,,
302,GoldSilverBitcoin.com,,unknown,,
303,GoldSilverWorlds.com,,unknown,,
304,GoldSwitzerland.com,,unknown,,
305,golemxiv.co.uk,,unknown,,
306,gomerblog.com,,satire,,
307,goneleft.com,,fake,,
308,GonzaloLira.Blogspot.com,,unknown,,
309,gopthedailydose.com,,fake,conspiracy,bias
310,govtslaves.info,,conspiracy,,
311,greanvillepost.com,,conspiracy,,
312,GreenMedInfo.com,,unknown,,
313,guardianlv.com,,political,,
314,guccifer2.wordpress.com,,unreliable,,
315,gulagbound.com,,bias,,
316,hangthebankers.com,,bias,conspiracy,
317,healthimpactnews.com,,junksci,bias,
318,healthnutnews.com,,junksci,,
319,healthy-holistic-living.com,,unknown,,
320,heamericanconservative.com,,unknown,,
321,heartland.org,,unknown,,
322,heatst.com,,bias,,
323,helastlineofdefense.org,,unknown,,
324,HendersonLeftHook.wordpress.com,,unknown,,
325,henrymakow.com,,fake,conspiracy,
326,herebel.media.com,,unknown,,
327,heresyblog.net,,bias,conspiracy,rumor
328,heritage.org,,unknown,,
329,holyobserver.com,,satire,,
330,horowitzfreedomcenter.org,,unknown,,
331,HowToVanish.com,,unknown,,
332,hudson.org,,unknown,,
333,humansarefree.com,,conspiracy,,
334,humortimes.com,,satire,,
335,huzlers.com,,satire,,
336,ibankcoin.com/flyblog/,,unknown,,
337,icr.org,,unknown,,
338,ifyouonlynews.com,,unreliable,satire,
339,ihavethetruth.com,,bias,clickbait,fake
340,ijr.com,,bias,unreliable,
341,illuminati-news.com,,unknown,,
342,ilovemyfreedom.org,,bias,clickbait,
343,in5d.com,,junksci,,
344,indiaarising.com,,clickbait,unreliable,
345,infiniteunknown.net,,unknown,,
346,informationclearinghouse.info,,conspiracy,unreliable,
347,informetoday.com,,bias,unreliable,
348,infostormer.com,,fake,hate,conspiracy
349,infowars.com,,conspiracy,,
350,instaworldnews.com,,bias,,
351,intellihub.com,,conspiracy,unreliable,
352,InternationalMan.com,,unknown,,
353,intrendtoday.com,,fake,clickbait,
354,intrepidreport.com,,bias,,
355,investmentresearchdynamics.com,,conspiracy,,
356,investmentwatchblog.com,,bias,fake,
357,ironictimes.com,,satire,,
358,islamicanews.com,,satire,,
359,itaglive.com,,fake,,
360,ITCCS.org,,unknown,,
361,ItMakesSenseBlog.com,,fake,,
362,iwanttoexplore.com,,fake,,
363,jackpineradicals.com,,political,,
364,jacobinmag.com,,political,,
365,jamesrgrangerjr.com,,bias,,
366,jessescrossroadscafe.blogspot.com,,unknown,,
367,jesus-is-savior.com,,conspiracy,,
368,jewsnews.co.il,,unreliable,bias,clickbait
369,jihadwatch.org,,unknown,,
370,JohnGaltfla.com,,unknown,,
371,johngaltfla.com/wordpress,,unknown,,
372,johnnyrobish.com,,satire,,
373,jonesreport.com,,conspiracy,,
374,jookos.com,,unknown,,
375,journal-neo.org,,bias,,
376,JSMineset.com,,unknown,,
377,judicialwatch.org,,unknown,,
378,katehon.com,,bias,,
379,katehon.org,,unknown,,
380,"Kauilapele,com",,unknown,,
381,kereport.com,,unknown,,
382,kingworldnews.com,,unknown,,
383,knowledgeoftoday.org,,unknown,,
384,landoverbaptist.org,,satire,,
385,LaRouchePac.com,,unknown,,
386,leap2020.eu,,unknown,,
387,legorafi.fr,,unknown,,
388,lewrockwell.com,,bias,unreliable,
389,LFB.org,,unknown,,
390,lfb.org,,unknown,,
391,liberalamerica.org,,clickbait,bias,
392,liberalbias.com,,satire,,
393,liberaldarkness.com,,satire,fake,
394,libertyblitzkrieg.com,,fake,,
395,libertyfederation.com,,hate,,
396,libertymovementradio.com,,conspiracy,,
397,libertynews.com,,unreliable,bias,
398,libertytalk.fm,,conspiracy,,
399,libertyunyielding.com,,bias,,
400,libertyvideos.org,,conspiracy,,
401,libertywritersnews.com,,clickbait,bias,unreliable
402,lifeandabout.com,,bias,,
403,lifenews.com,,bias,clickbait,
404,lifeprevention.com,,junksci,,
405,lifesitenews.com,,clickbait,bias,
406,lifezette.com,,clickbait,,
407,lightlybraisedturnip.com,,unknown,,
408,liveactionnews.org,,bias,,
409,livefreelivenatural.com,,malware warning,,
410,livevote.com,,clickbait,,
411,lushforlife.com,,satire,,
412,Mad-Yet.blogspot.com,,unknown,,
413,madpatriots.com,,unreliable,clickbait,
414,madworldnews.com,,unreliable,clickbait,
415,madworldnews.com,,unreliable,hate,
416,magafeed.com,,rumor,bias,
417,makeamericagreattoday.com,,bias,fake,
418,MarketDailyNews.com,,unknown,,
419,MarketOracle.co.uk,,unknown,,
420,marshallreport.com,,unknown,,
421,MaxKeiser.com,,unknown,,
422,mediamass.net,,fake,,
423,mediazone.news,,rumor,unreliable,
424,megafreshnews.com,,rumor,,
425,megynkelly.us,,fake,,
426,MemoryHoleBlog.com,,unknown,,
427,MilesFranklin.com,,unknown,,
428,militianews.com,,conspiracy,bias,hate
429,MineWeb.com,,unknown,,
430,mintpressnews.com,,political,,
431,Mises.ca,,unknown,,
432,molonlabemedia.com,,unknown,,
433,moonofalabama.org,,bias,,
434,morningledger.com,,unknown,,
435,morningnewsusa.com,,unreliable,,
436,mpidailymagazine.com,,fake,bias,
437,mrc.org,,unknown,,
438,mrconservative.com,,fake,satire,
439,msnbc.website,,fake,,
440,MyBudget360.com,,unknown,,
441,mydailyrelaxation.com,,unknown,,
442,myfreshnews.com,,fake,bias,
443,myzonetoday.com,,fake,bias,
444,nahadaily.com,,satire,,
445,nakedcapitalism.com,,political,,
446,NarcoNews.com,,unknown,,
447,nasamoonhoax.com,,unknown,,
448,NationaLlibertyAlliance.org,,unknown,,
449,nationalreport.net,,satire,fake,
450,nationalreview.com,,unknown,,
451,NationalUFOCenter.com,,unknown,,
452,nationindistress.weebly.com,,conspiracy,,
453,nationonenews.com,,fake,conspiracy,
454,naturalblaze.com,,junksci,conspiracy,
455,naturalnews.com,,junksci,conspiracy,
456,nbc.com.co,,fake,,
457,nbcpolitics.org,,unknown,,
458,nbcpoll.com,,unknown,,
459,ncscooper.com,,satire,,
460,netdania.com,,unknown,,
461,nevo.news,,unreliable,bias,
462,newcenturytimes.com,,unreliable,bias,
463,newcoldwar.org,,political,,
464,news4ktla.com,,fake,satire,
465,newsbbc.net,,fake,,
466,newsbiscuit.com,,satire,,
467,newsbreakers.org,,satire,,
468,NewsBuster.com,,unknown,,
469,newsbuzzdaily.com,,fake,,
470,newscenterusa.com,,unknown,,
471,newscorpse.com,,bias,,
472,newsexaminer.net,,fake,satire,
473,newsfrompolitics.com,,fake,,
474,newslo.com,,fake,,
475,Newsmax.com,,unreliable,bias,
476,newsmutiny.com,,satire,fake,
477,newsninja2012.com,,bias,,
478,newsopening.com,,unknown,,
479,newstarget.com,,conspiracy,,
480,newsthump.com,,satire,,
481,newstoad.net,,satire,,
482,newswatch28.com,,fake,,
483,newswatch33.com,,fake,,
484,newswire-24.com,,rumor,unreliable,
485,newswithviews.com,,fake,conspiracy,
486,newyorker.com/humor,,satire,,
487,nodisinfo.com,,conspiracy,unreliable,
488,NomadCapitalist.com,,unknown,,
489,NomiPrins.com,,unknown,,
490,NoMoreFakeNews.com,,conspiracy,,
491,nonaiswa.org/wordpress,,unknown,,
492,northcrane.com,,unreliable,,
493,notallowedto.com,,clickbait,fake,
494,NoTime4Bull.com,,unknown,,
495,now8news.com,,fake,,
496,nowtheendbegins.com,,conspiracy,,
497,npiamerica.org,,unknown,,
498,NutritionalAnarchy.com,,unknown,,
499,nymeta.co,,clickbait,satire,
500,nyuzer.com,,unknown,,
501,oann.com,,unknown,,
502,oathkeepers.org,,unknown,,
503,objectiveministries.org,,satire,,
504,observatorial.com,,unknown,,
505,observer.com,,unknown,,
506,OCCUPY.com,,unknown,,
507,occupydemocrats.com,,clickbait,bias,unreliable
508,occupyliberals.com,,bias,clickbait,
509,odgossip.com,,unknown,,
510,off-guardian.org,,bias,conspiracy,
511,OffGridSurvival.com,,unknown,,
512,OfTwoMinds.com,,unknown,,
513,oftwominds.com,,bias,conspiracy,
514,oilgeopolitics.net,,conspiracy,,
515,onlineconservativepress.com,,fake,conspiracy,bias
516,opednews.com,,unknown,,
517,openmindmagazine.com,,bias,conspiracy,
518,orientalreview.org,,bias,conspiracy,
519,other98.com,,clickbait,bias,unreliable
520,pakalertpress.com,,fake,,
521,pamelageller.com,,conspiracy,fake,bias
522,PandaUnite.org,,unknown,,
523,patdollar.com,,bias,clickbait,
524,patriotarchives.blogspot.com,,unknown,,
525,patriotchronicle.com,,bias,clickbait,
526,patriotnewsdaily.com,,bias,,
527,patriotnewsdaily.com,,satire,,
528,patriotpost.us,,unknown,,
529,patriotrising.com,,bias,conspiracy,
530,patriotupdate.com,,bias,conspiracy,
531,paulcraigroberts.org,,bias,conspiracy,
532,PeakProsperity.com,,unknown,,
533,Perpetualassets.com,,unknown,,
534,pjmedia.com,,unknown,,
535,plata.com.mx/mplata/articulos/articles.asp,,unknown,,
536,platosguns.com,,bias,conspiracy,bias
537,policestateusa.com,,unknown,,
538,policyreview.info,,unknown,,
539,Politcalpiehole.com,,unknown,,
540,politicalblindspot.com,,conspiracy,junkscience,
541,politicalcult.com,,bias,clickbait,conspiracy
542,politicalears.com,,unreliable,clickbait,
543,politicalo.com,,fake,,
544,PoliticalPieHole.com,,unknown,,
545,politicalsitenews.com,,fake,,
546,politicaltimes.org,,unknown,,
547,PoliticalTracker.com,,unknown,,
548,politicalupdator.com,,fake,clickbait,bias
549,politicops.com,,satire,unreliable,
550,politicsbreaking.com,,unknown,,
551,politicsinformation.com,,unknown,,
552,politicsinfotoday.com,,unknown,,
553,politicsintheusa.com,,unreliable,vias,
554,politicsinusa.com,,unknown,,
555,politicususa.com,,clickbait,unreliable,
556,powerlineblog.com,,unknown,,
557,powerpoliticians.com,,unreliable,,
558,pravda.ru,,bias,rumor,conspiracy
559,pravdareport.com,,bias,rumor,conspiracy
560,prepperwebsite.com,,conspiracy,fake,
561,presidentialvoting2016.com,,political,bias,unreliable
562,press24.us,,unknown,,
563,presstv.com,,bias,unreliable,
564,presstv.ir,,bias,unreliable,
565,prisonplanet.com,,conspiracy,,
566,prisonplanet.com,,conspiracy,,
567,prisonplanet.tv,,conspiracy,,
568,prntly.com,,fake,,
569,proamericanews.com,,unknown,,
570,progressivestoday.com,,unknown,,
571,projectveritas.com,,bias,unreliable,political
572,proudcons.com,,fake,bias,
573,proudemocrat.com,,political,,
574,PublicIntelligence.net,,unknown,,
575,qpolitical.com,,bias,clickbait,
576,Radio.GoldSeek.com,,unknown,,
577,randpaulreview.com,,unknown,,
578,rawforbeauty.com,,junksci,,
579,rawstory.com,,political,clickbait,
580,rawws.com,,unknown,,
581,rbth.com,,unknown,,
582,react365.com,,fake,,
583,readconservatives.news,,bias,fake,clickbait
584,readynutrition.com,,unknown,conspiracy,
585,reagancoalition.com,,bias,fake,clickbait
586,realfarmacy.com,,junksci,conspiracy,
587,realnewsrightnow.com,,fake,satire,
588,realplanetnews.com,,junksci,,
589,realprogress.online,,unknown,,
590,realtimepolitics.com,,bias,unreliable,
591,redflagnews.com,,bias,conspiracy,unreliable
592,RedIceCreations.com,,unknown,,
593,redstate.com,,political,clickbait,
594,redstatewatcher.com,,bias,clickbait,
595,reductress.com,,satire,,
596,regated.com,,bais,,
597,remedydaily.com,,clickbait,,
598,rense.com,,conspiracy,junksci,
599,responsibletechnology.org,,junksci,,
600,returnofkings.com,,hate,,
601,revolutions2040.com,,junksci,clickbait,
602,rhotv.com,,fake,,
603,RickAckerman.com,,unknown,,
604,rickwells.us,,fake,conspiracy,
605,rightalert.com,,bias,unreliable,
606,righton.com,,unknown,,
607,RightSideNews.com,,unknown,,
608,rightwingnews.com,,bias,unreliable,
609,rilenews.com,,fake,satire,
610,rinf.com,,political,,
611,rockcitytimes.com,,satire,,
612,ronpaulinstitute.org,,political,,
613,rumormillnews.com,,conspiracy,junksci,rumor
614,RunToGold.com,,unknown,,
615,ruptly.tv,,political,,
616,russia-direct.org,,unknown,political,
617,russia-insider.com,,bias,clickbait,
618,satiratribune.com,,satire,,
619,satirewire.com,,satire,,
620,scrappleface.com,,satire,,
621,SeanKerrigan.com,,unknown,,
622,secretsofthefed.com,,conspiracy,junksci,
623,sensationalisttimes.com,,satire,,
624,sentinelblog.com,,conspiracy,junksci,
625,sgtreport.com,,unknown,,
626,shadowproof.com,,unknown,,
627,ShadowStats.com,,unknown,,
628,sheepkillers.com,,conspiracy,junksci,
629,shiftfrequency.com,,unknown,,
630,shoebat.com,,conspiracy,bias,
631,shtfplan.com,,unknown,,
632,silentmajoritypatriots.com,,unknown,,
633,Silver-Coin-Investor. com,,conspiracy,bias,unreliable
634,SilverBearCafe.com,,conspiracy,,
635,SilverDoctors.com,,conspiracy,bias,
636,SilverInvestingNews.com,,unknown,,
637,SilverSeek.com,,unknown,,
638,SilverStealers.net,,conspiracy,,
639,SilverStrategies.com,,unknown,,
640,SJLendman.Blogspot.com,,bias,,
641,skeptiko.com,,conspiracy,junksci,
642,smartknowledgeu.com/blog,,unknown,,
643,solari.com/blog,,unknown,,
644,sonsoflibertyradio.com,,conspiracy,bias,unreliable
645,sott.net,,unknown,,
646,sourceplanet.net,,unknown,,
647,southfront.org,,unknown,,
648,southweb.org,,unknown,,
649,SovereignMan.com,,unknown,,
650,speciallifeentertainment.com,,unknown,,
651,speld.nl,,unknown,,
652,spinzon.com,,unknown,,
653,sportspickle.com,,satire,,
654,sputniknews.com,,bias,state,
655,SRSroccoReport.com,,unknown,,
656,statenation.co,,unknown,,
657,STAWealth.com,,unknown,,
658,SteveQuayle.com,,unknown,,
659,stneotscitizen.com,,satire,,
660,stormcloudsgathering.com,,fake,,
661,strategic-culture.org,,unknown,,
662,stuppid.com,,satire,,
663,subjectpolitics.com,,fake,bias,
664,suggesthealthytips.com,,unknown,,
665,superstation95.com,,unknown,,
666,supremepatriot.com,,fake,bias,
667,surenews.com,,unknown,,
668,surrealscoop.com,,satire,,
669,SurvivalBlog.com,,unknown,,
670,SurvivalKnowHow.net,,unknown,,
671,survivopedia.com,,unknown,,
672,szandorblestman.com/index.php,,unknown,,
673,tap-news.com,,unknown,,
674,tdnewswire.com,,unknown,,
675,teapartyeconomist.com,,unknown,,
676,teapartytribune.com,,unknown,,
677,tellmenow.com,,unknown,,
678,TenthAmendmentCenter.com,,unknown,,
679,the-newspapers.com,,unknown,,
680,theamericancause.org,,unknown,,
681,theamericanindependent.wordpress.com,,fake,bias,
682,theamericanmirror.com,,unknown,,
683,theantimedia.org,,unknown,,
684,TheAuReport.com,,unknown,,
685,theautogear.com,,unknown,,
686,thebeaverton.com,,satire,,
687,theblaze.com,,political,clickbait,
688,thebostontribune.com,,fake,,
689,TheBRICSPost.com,,unknown,,
690,TheBrowser.com,,unknown,,
691,TheBurningPlatform.com,,unknown,,
692,thecarsmagazine.com,,unknown,,
693,thecivilian.co.nz,,unknown,,
694,thecommonsenseshow.com,,fake,conspiracy,
695,theconservativetreehouse.com,,unknown,,
696,thecontroversialfiles.net,,fake,clickbait,
697,TheCroweHouse.com,,unknown,,
698,thedailybeast.com,,political,,
699,thedailybell.com,,unknown,,
700,TheDailyCoin.org,,unknown,,
701,TheDailyCrux.com,,unknown,,
702,thedailymash.co.uk,,satire,,
703,thedailysheeple.com,,conspiracy,bias,
704,thedailywtf.com,,satire,,
705,thedemocratic.site,,unknown,,
706,theduran.com,,unreliable,,
707,theearthchild.co.za,,unknown,,
708,theeconomiccollapseblog.com,,conspiracy,bias,
709,theeventchronicle.com,,conspiracy,junksci,clickbait
710,TheExtinctionProtocol.com,,conspiracy,,
711,thefederalistpapers.org,,bias,conspiracy,
712,theforbiddenknowledge.com,,conspiracy,junksci,
713,thefreepatriot.org,,fake,bias,clickbait
714,thefreethoughtproject.com,,unreliable,conspiracy,clickbait
715,thegatewaypundit.com,,bias,conspiracy,unreliable
716,thegoldandoilguy.com/articles,,unreliable,,
717,thegoldwater.com,,unknown,,
718,thehardtimes.net,,satire,,
719,theineptowl.com,,satire,,
720,theinformedamerican.net,,unreliable,,
