100percentfedup.com,,bias,,
21stcenturywire.com,,conspiracy,,
24newsflash.com,,fake,,
365usanews.com,,bias,conspiracy,
4threvolutionarywar.wordpress.com,,bias,conspiracy,
70news.wordpress.com,,fake,,
82.221.129.208,,conspiracy,fake,
aanirfan.blogspot.co.uk,,unreliable,,
abcnews.com.co,,fake,,
abcnewsgo.co,,fake,,
abeldanger.net,,conspiracy,,
abovetopsecret.com,,conspiracy,rumor,
abriluno.com,,satire,fake,
aceflashman.wordpress.com,,satire,,
Acting-Man.com,,unreliable,conspiracy,
activistpost.com,,conspiracy,,
addictinginfo.org,,clickbait,unreliable,
adobochronicles.com,,fake,,
advocate.com,,political,credible,
aheadoftheherd.com,,unknown,,
ahtribune.com,,unreliable,bias,
allnewspipeline.com,,unreliable,conspiracy,
Alt-Market.com,,unknown,,
alternet.org,,political,credible,
americanblog.com,,unknown,,
americanfreepress.net,,conspiracy,bias,
AmericanKabuki.blogspot.com,,junksci,,
americanlookout.com,,bias,clickbait,
americannews.com,,fake,,
americanoverlook.com,,fake,,
americanpatriotdaily.com,,bias,clickbait,bias
americanprogress.org,,unknown,,
americanreviewer.com,,conspiracy,,
americantoday.news,,rumor,bias,
americasfreedomfighters.com,,bias,clickbait,
AmmoLand.com,,bias,,
amplifyingglass.com,,clickbait,satire,
amren.com,,hate,conspiracy,
amtvmedia.com,,rumor,unreliable,
amusmentic.com,,clickbait,rumor,
ancient-code.com,,junksci,unreliable,
angrypatriotmovement.com,,conspiracy,,
anonews.co,,unreliable,,
anonhq.com,,unreliable,,
anonnews.co,,unreliable,,
anotherdayintheempire.com,,bias,conspiracy,
antiwar.com,,bias,unreliable,
antoniusaquinas.wp.com,,bias,conspiracy,
ArmstrongEconomics.com,,unknown,,
asia-pacificresearch.com,,unreliable,satire,
assassinationscience.com,,conspiracy,junksci,
associatedmediacoverage.com,,satire,,
attn.com,,political,clickbait,
AutomaticEarth.com,,unreliable,,
automotostar.com,,clickbait,,
awarenessact.com,,conspiracy,junksci,
awazetribune.com,,unknown,,
awdnews.com,,conspiracy,,
awm.com,,unreliable,bias,clickbait
BadSquad.com,,unknown,,
baptistnews.com,,unknown,,
barenakedislam.com,,hate,,
Barnhardt.biz,,unknown,,
BB4SP.com,,conspiracy,bias,bias
beehivebugle.com,,satire,,
beforeitsnews.com,,fake,conspiracy,rumor
betootaadvocate.com,,satire,,
bients.com,,clickbait,,
bigamericannews.com,,satire,fake,
bigbluedimension.com,,rumor,bias,
bigbluevision.com,,hate,,
bigbluevision.org,,clickbait,bias,
bighairynews.com,,fake,conspiracy,
bignuggetnews.com,,bias,rumor,
bigpzone.com,,,,
bipartisanreport.com,,clickbait,bias,
blackagendareport.com,,unreliable,,
blackgenocide.org,,unknown,,
blacklistednews.com,,clickbait,unreliable,
blog.uncommonwisdomdaily.com,,unknown,,
bluenationreview.com,,clickbait,unreliable,
Boilingfrogspost.com,,unreliable,,
borowitzreport.com,,satire,,
bostonleader.com,,fake,,
breaking911.com,,clickbait,unreliable,
breakpoint.org,,unknown,,
breitbart.com,,political,unreliable,bias
BrotherJohnF.com,,bias,conspiracy,
BullionBullsCanada.com,,conspiracy,,
burrardstreetjournal.com,,satire,,
buzzfeedusa.com,,fake,rumor,
bvanews.com,,unreliable,bias,fake
callthecops.net,,satire,,
canadafreepress.com,,conspiracy,bias,
cap-news.com,,fake,,
CaseyResearch.com,,unknown,,
cbsnews.com.co,,fake,,
celebtricity.com,,satire,,
centerforsecuritypolicy.org,,unknown,,
channel-7-news.com/,,fake,,
charismanews.com,,unknown,,
chaser.com.au,,satire,,
checkoutthehealthyworld.com,,junksci,clickbait,
chicksontheright.com,,clickbait,bias,
christianfightback.com,,hate,bias,
christianpost.com,,unknown,,
christiantimesnewspaper.com,,rumor,bias,
christwire.org,,satire,,
chronicle.su,,satire,,
chroniclesmagazine.org,,unknown,,
citizensunited.org,,unknown,,
city-journal.org,,unknown,,
cityworldnews.com,,fake,,
civictribune.com,,fake,,
clashdaily.com,,fake,conspiracy,bias
clickhole.com,,satire,,
cnnnext.com,,unreliable,,
CNSNews.com,,unreliable,bias,
coasttocoastam.com,,unreliable,,
Coinflation.com,,unknown,,
collective-evolution.com,,junksci,,
collectivelyconscious.net,,junksci,conspiracy,
ComingDepression.com,,unknown,,
commentarymagazine.com,,unknown,,
commondreams.org,,political,clickbait,
concisepolitics.com,,conspiracy,hate,
consciouslifenews.com,,junksci,,
conservapedia.com,,unknown,,
conservativebyte.com,,fake,bias,
conservativedailypost.com,,fake,unreliable,
conservativefiringline.com,,bias,conspiracy,clickbait
conservativefrontline.com,,unknown,,
conservativehq.com,,unknown,,
conservativeinfidel.com,,fake,conspiracy,
conservativeoutfitters.com,,unreliable,clickbait,
conservativepapers.com,,unknown,,
conservativerefocus.com,,conspiracy,,
conservativereview.com,,unknown,,
conservativespirit.com,,bias,,
conservativestate.com,,bias,,
conservativetribune.com,,bias,conspiracy,unreliable
consortiumnews.com,,credible,,
conspiracyplanet.com,,unknown,,
conspiracywire.com,,conspiracy,,
corbettreport.com,,conspiracy,,
corbettreport.com,,conspiracy,bias,
countdowntozerotime.com,,conspiracy,,
countercurrents.org,,political,unreliable,
counterinformation.wordpress.com,,political,,
counterpsyops.com,,conspiracy,,
counterpunch.com,,political,,
counterpunch.org,,political,,
cowgernation.com,,bias,conspiracy,
creambmp.com,,satire,fake,
cryptogon.com,,unknown,,
crystalair.com,,satire,,
dailybuzzlive.com,,fake,,
dailycurrant.com,,satire,,
dailydiscord.com,,satire,,
dailyheadlines.com,,fake,,
dailyheadlines.net,,fake,,
dailykos.com,,political,clickbait,credible
dailyleak.org,,parody,fake,
dailynewsbin.com,,bias,clickbait,
dailynewspolitic.com,,unknown,,
dailyoccupation.com,,conspiracy,bias,
dailypolitics.info,,unknown,,
dailypoliticsusa.com,,bias,,
dailysignal.com,,bias,,
dailysquib.co.uk,,satire,,
dailystormer.com,,hate,conspiracy,bias
dailytelegraph.com.au,,unknown,,
dailywire.com,,bias,,
dandygoat.com,,satire,,
darkmoon.me,,hate,bias,
darkpolitricks.com,,bias,conspiracy,
dataasylum.com,,unknown,,
DaveJanda.com,,unreliable,,
davidduke.com,,hate,,
davidstockmanscontracorner.com,,political,,
davidwolfe.com,,conspiracy,,
dcclothesline.com,,conspiracy,junkscience,
dcgazette.com,,fake,,
dcleaks.com,,unreliable,,
DeadLineLive.info,,unknown,,
DeadlyClear.wordpress.com,,unknown,,
debunkingskeptics.com,,unknown,,
defenddemocracy.press,,bias,political,
delectabledietofpics.net,,unknown,,
dennismichaellynch.com,,political,,
denverguardian.com,,fake,,
departed.co,,fake,,
der-postillon.com,,satire,,
derfmagazine.com,,satire,,
DeviantInvestor.com,,unknown,,
dineal.com,,junksci,,
disclose.tv,,satire,conspiracy,
disclosuremedia.net,,conspiracy,,
discoverthenetworks.org,,unknown,,
discovery.org,,unknown,,
dissentmagazine.org,,political,,
diversitychronicle.wordpress.com,,satire,,
doctorhousingbubble.com,,unknown,,
DollarVigilante.com,,bias,,
donaldtrumpnews.co,,fake,,
Dont-Tread-On.Me,,conspiracy,,
downtrend.com,,fake,satire,
DProgram.net,,unknown,,
drudgereport.com,,bias,bias,
drudgereport.com.co,,fake,,
duffleblog.com,,satire,,
duhprogressive.com,,satire,,
Dutchsinse.com,,conspiracy,,
EagleRising.com,,bias,clickbait,
EbolaHoax.com,,conspiracy,,
economicnoise.com,,unknown,,
ecowatch.com,,unknown,,
EdgeTraderPlus.com,,unknown,,
educate-yourself.org,,conspiracy,junksci,
educateinspirechange.org/health,,clickbait,junksci,
electionnightgatekeepers.com,,conspiracy,unreliable,
elelephantintheroom.blogspot.com,,bias,,
elitereaders.com,,clickbait,,
elkoshary.com,,satire,,
elmundotoday.com,,satire,,
embols.com,,fake,,
empireherald.com,,fake,satire,
empirenews.net,,fake,satire,
empiresports.co,,satire,,
Emptywheel.net,,political,,
enabon.com,,fake,,
endingthefed.com,,bias,,
endoftheamericandream.com,,unknown,,
endtime.com,,unknown,,
enduringvision.com,,fake,,
english.ruvr.ru,,unknown,,
EUTimes.net,,hate,conspiracy,
eutopia.buzz,,fake,satire,conspiracy
everydayworldnews.com,,unknown,,
everythingnewdaily.com,,unknown,,
ewao.com,,junksci,,
ExperimentalVaccines.org,,unknown,,
ExplosiveReports.Com,,unknown,,
Expose1933.com,,conspiracy,hate,
express.co.uk,,unknown,,
extraclubmagazine.com,,bias,clickbait,fake
eyeopening.info,,conspiracy,junksci,
fairus.org,,unknown,,
fakingnews.com,,fake,satire,
familysecuritymatters.org,,conspiracy,bias,
fantasticword.com,,unknown,,
FarmWars.info,,unknown,,
federalistpress.com,,bias,,
fellowshipoftheminds.com,,conspiracy,junksci,
filmsforaction.org,,political,,
FinancialSense.com,,unknown,,
FinancialSurvivalNetwork.com,,unreliable,bias,
firearmscoalition.org,,unknown,,
floridasunpost.com,,fake,satirical,
flyheight.com,,unknown,,
fmobserver.com,,satire,,
fognews.ru,,satire,,
foodbabe.com,,junksci,,
foreignpolicyjournal.com,,political,,
fort-russ.com,,unknown,,
fourwinds10.net,,conspiracy,junksci,
fprnradio.com,,conspiracy,fake,
freakoutnation.com,,bias,,
FreeBeacon.com,,bias,,
freedomdaily.com,,fake,,
FreedomForceInternational.com,,conspiracy,,
freedomoutpost.com,,conspiracy,bias,
FreedomsPhoenix.com,,bias,conspiracy,
freedomworks.org,,unknown,,
FreemansPerspective.com,,unknown,,
freepatriot.org,,satire,,
FreeStateProject.org,,unknown,,
freewoodpost.com,,satire,,
fridaymash.com,,satire,,
fromthetrenchesworldreport.com,,conspiracy,junksci,bias
frontpagemag.com,,bias,hate,
FTMDaily.com,,unknown,,
FullSpectrumDominance.com,,unknown,,
fusion.net,,political,,
gaia.com,,conspiracy,junksci,
gainspainscapital.com,,unknown,,
galacticconnection.com,,junksci,,
gangstergovernment.com,,conspiracy,bias,
GATA.org,,unknown,,
gatesofvienna.net,,hate,conspiracy,
geoengineeringwatch.org,,junksci,conspiracy,
geopolmonitor.com,,political,,
GlobalEconomicAnalysis.com,,unknown,,
globalresearch.ca,,conspiracy,,
GlobalWealthProtection.com,,unknown,,
GloomBoomDoom.com,,unknown,,
glossynews.com,,satire,,
godlikeproductions.com,,conspiracy,,
GoldBroker.com,,unknown,,
GoldCore.com,,unknown,,
GoldMoney.com,,unknown,,
GoldSeek.com,,unknown,,
